County,State,Price,State_Average,state_name,Comparison_with_State_Average
Montgomery County,AR,2.699,2.6515,Arkansas,0.0475
Montgomery County,IL,3.046,3.0868,Illinois,-0.0408
Montgomery County,IN,2.806,2.8702,Indiana,-0.0642
Montgomery County,MD,3.091,2.9834,Maryland,0.1076
Montgomery County,MS,2.752,2.6891,Mississippi,0.0629
Montgomery County,VA,2.975,2.9095,Virginia,0.0655
Montrose County,CO,3.104,3.0417,Colorado,0.0623
Mora County,NM,2.841,2.8433,New Mexico,-0.0023
Morehouse County,LA,2.583,2.741,Louisiana,-0.158
Morgan County,IN,2.858,2.8702,Indiana,-0.0122
Morgan County,KY,2.893,2.7243,Kentucky,0.1687
Morgan County,OH,2.9285,2.8384,Ohio,0.0901
Morgan County,TN,2.739,2.6916,Tennessee,0.0474
Morgan County,UT,3.024,3.0844,Utah,-0.0604
Morrill County,NE,3.099,2.8668,Nebraska,0.2322
Morris County,NJ,2.981,2.9361,New Jersey,0.0449
Morrison County,MN,2.647,2.7892,Minnesota,-0.1422
Morrow County,OH,2.888,2.8384,Ohio,0.0496
Morton County,ND,2.923,2.8678,North Dakota,0.0552
Mower County,MN,2.546,2.7892,Minnesota,-0.2432
Muhlenberg County,KY,2.751,2.7243,Kentucky,0.0267
Muscatine County,IA,2.832,2.7676,Iowa,0.0644
Muscogee County,GA,2.828,2.9209,Georgia,-0.0929
Muskingum County,OH,2.818,2.8384,Ohio,-0.0204
Muskogee County,OK,2.41,2.5638,Oklahoma,-0.1538
Musselshell County,MT,2.932,2.9015,Montana,0.0305
Nassau County,NY,2.987,3.2019,New York,-0.2149
Nelson County,KY,2.627,2.7243,Kentucky,-0.0973
Nemaha County,KS,2.676,2.7011,Kansas,-0.0251
Nemaha County,NE,2.689,2.8668,Nebraska,-0.1778
Neshoba County,MS,2.7095,2.6891,Mississippi,0.0204
Nevada County,AR,2.725,2.6515,Arkansas,0.0735
Nevada County,CA,4.734,4.5028,California,0.2312
New Haven County,CT,3.027,3.0285,Connecticut,-0.0015
New Madrid County,MO,2.628,2.6718,Missouri,-0.0438
New York County,NY,3.263,3.2019,New York,0.0611
Newberry County,SC,2.706,2.7674,South Carolina,-0.0614
Newport County,RI,3.001,2.9686,Rhode Island,0.0324
Newton County,IN,2.882,2.8702,Indiana,0.0118
Newton County,MO,2.505,2.6718,Missouri,-0.1668
Newton County,MS,2.763,2.6891,Mississippi,0.0739
Newton County,TX,2.744,2.6847,Texas,0.0593
Nez Perce County,ID,3.254,3.1104,Idaho,0.1436
Nicholas County,KY,2.752,2.7243,Kentucky,0.0277
Noble County,IN,2.867,2.8702,Indiana,-0.0032
Noble County,OH,2.891,2.8384,Ohio,0.0526
Noble County,OK,2.503,2.5638,Oklahoma,-0.0608
Nobles County,MN,2.792,2.7892,Minnesota,0.0028
Nodaway County,MO,2.663,2.6718,Missouri,-0.0088
North Slope County,AK,3.369,3.5955,Alaska,-0.2265
Northampton County,PA,3.105,3.3018,Pennsylvania,-0.1968
Northwest Arctic County,AK,3.549,3.5955,Alaska,-0.0465
Nottoway County,VA,2.999,2.9095,Virginia,0.0895
Noxubee County,MS,2.919,2.6891,Mississippi,0.2299
Nye County,NV,3.249,3.5176,Nevada,-0.2686
Oakland County,MI,3.017,2.923,Michigan,0.094
Obion County,TN,2.578,2.6916,Tennessee,-0.1136
Ocean County,NJ,2.941,2.9361,New Jersey,0.0049
