FIPS_County,ID,Use_of_Force,Lethal_Force,Police_Shootings
21145,58836,174,23,0
21173,99173,9,4,0
21199,99199,10,10,2
22015,8920,1072,367,0
22019,41155,1921,477,8
22033,104033,1836,1645,23
22055,81470,619,97,15
22057,99057,286,141,5
22071,55000,2665,300,13
22095,99095,414,153,0
22103,99103,271,0,0
22109,36255,129,24,3
23001,40800,831,49,1
23005,231540,1677,433,1
23011,99011,2,0,0
23019,99019,292,0,0
23031,4860,415,40,0
24001,99001,2,1,1
24003,100603,974,216,8
24009,99009,714,63,3
24015,99015,499,180,1
24017,45750,14,3,0
24021,129346,1637,219,14
24025,99025,446,127,5
24027,99027,2659,97,9
24031,99031,2685,367,14
24033,149058,5036,961,33
24035,99035,121,10,0
24037,99037,1286,125,5
24043,36075,173,90,0
24045,168970,94,71,5
24510,4000,7486,407,43
25001,287720,422,104,0
25005,137170,1345,406,6
25007,149775,66,10,0
25009,206105,2412,278,32
25011,27100,104,14,0
25013,97840,868,664,6
25015,46330,421,77,0
25017,612680,3171,358,15
25019,43790,4,4,0
25021,276864,1348,115,4
25023,63310,712,277,9
25025,7000,201,0,9
25027,87900,196,110,0
26005,99005,352,9,1
26025,5920,590,173,8
26045,99045,621,99,3
26055,99055,245,24,0
26065,169185,1158,172,0
26075,99075,141,26,1
26077,206797,2140,365,15
26081,157100,2335,378,8
26087,99087,38,29,0
26091,99091,32,5,0
26099,24290,103,0,0
26115,99115,240,7,0
26125,303805,1379,166,2
26147,99147,85,10,0
26161,3000,915,15,0
26163,242380,3749,222,89
27003,99003,187,0,3
27037,27982,1002,30,3
27053,248796,6749,1814,19
27123,212975,3902,788,14
27137,116137,364,73,9
27145,156041,2412,654,4
28033,54040,150,25,0
28047,6220,771,193,17
28049,46140,42,23,4
28059,99059,741,256,1
29019,15670,1767,277,12
29031,11242,497,160,2
29077,70000,1414,822,37
29095,121000,2560,1351,60
29097,136689,1816,526,16
29099,99099,456,0,0
29183,217339,1752,293,6
29189,195510,778,187,4
29510,65000,3507,1566,56
30003,34225,4,3,0
30013,32800,1410,128,7
30049,99049,98,19,0
30063,149263,1606,204,10
30067,43975,102,10,0
30111,6550,762,290,14
31019,124074,56,34,0
31055,37000,1952,1323,18
31109,127109,1187,375,3
31153,141398,911,189,0
32001,24100,86,5,0
32003,169700,8000,1988,142
32005,99005,319,62,3
32007,121507,318,69,2
32019,99019,41,48,4
32023,99023,331,113,9
32031,228031,2234,437,32
33001,40180,288,44,0
33005,39300,120,7,0
33011,263160,1427,386,2
33013,51500,535,154,0
33015,149440,550,137,1
33017,19700,139,0,0
33019,99019,7,0,0
34001,537460,620,37,3
34003,2786800,1182,35,3
34005,1109310,738,36,4
34007,1111690,1359,75,2
34009,507630,356,16,0
34011,152700,1594,108,6
34013,850599,3645,158,51
34015,861570,721,21,6
34017,432930,1434,100,7
34019,438140,91,4,0
34021,512190,1278,134,2
34023,1164585,2051,224,4
34025,1704180,1705,89,6
34027,1367332,517,29,0
34029,1265370,1207,49,3
34031,860883,1083,79,6
34033,316080,116,5,1
34035,610650,475,26,7
34037,370240,127,3,1
34039,854110,1451,74,8
34041,261710,155,7,0
35001,2000,4230,1178,65
35005,64930,383,102,1
35009,16420,179,51,1
35013,118840,1535,1073,32
35015,17370,1049,209,0
35017,73260,182,21,0
35025,32520,470,108,0
35031,127491,81,30,0
35043,81420,86,47,4
35045,124845,971,180,12
35049,70500,361,96,3
35061,142431,202,29,0
36001,313455,204,226,2
36003,136954,5,6,0
36007,246132,121,143,1
36009,248104,24,24,1
36011,181104,109,20,1
36013,265740,179,54,1
36015,147495,115,143,2
36017,152996,40,41,0
36019,157593,21,26,0
36021,134990,12,1,0
36023,117411,32,39,0
36025,244395,53,61,0
36027,286607,28,41,1
36029,793173,3601,735,18
36031,40761,2,2,0
36033,284647,7,5,1
36035,167259,33,37,0
36037,145778,19,14,1
36039,153935,0,0,0
36043,218262,29,30,0
36045,257152,29,30,0
36049,142769,10,9,0
36051,179967,8,6,0
36053,169451,61,36,1
36055,431535,5796,1729,33
36057,177873,26,25,0
36059,493203,624,228,3
36061,51000,44711,8103,166
36063,340073,196,143,2
36065,595261,561,137,2
